,rcdts,total_incidents
5239,340491030021001,0.0
226,050160340042005,0.0
3787,110150020261003,246.0
1559,190222030262015,0.0
6782,090101690042001,0.0
5098,320462560042001,22.0
5788,510841860252037,0.0
5211,340490730042008,0.0
8583,470980010262003,0.0
1549,190222030262002,0.0
4995,310451310222008,8.0
4991,310451310222004,107.0
1700,240470900042001,0.0
110,041011330041001,30.0
8653,480723280032001,2.0
6010,56099365U262010,20.0
8124,330362350262001,20.0
6271,050160540041020,29.0
5745,510840010261001,0.0
4510,190220160022005,0.0
4233,15016299025258C,4.0
6445,060160990022001,2.0
8088,320380090261002,0.0
3739,090100040262010,10.0
5978,560992020222008,34.0
3111,041011220222013,23.0
1750,260621030262002,0.0
6466,060161010021006,5.0
3357,050160740022003,0.0
5234,340490960042006,1.0
3638,070161530021003,287.0
4715,200962000262003,0.0
6822,110230950251001,0.0
2823,560991220022005,3.0
8310,340492200262009,0.0
6530,070161230021001,78.0
1589,190222040262025,22.0
6749,090100040261005,158.0
8423,410570020262008,2.0
6420,060160925022003,0.0
3817,110870040262002,66.0
6381,060160830023002,0.0
2431,450791320262002,70.0
5044,310453030262006,1.0
2831,560991590022002,0.0
6187,050160150042004,0.0
7156,150162990252399,9.0
2220,350501410022009,179.0
7453,170540270022007,5.0
4963,310450460222053,2.0
1274,150162990252945,35.0
71,030262030262009,31.0
2488,480720680022002,0.0
7827,240473080262007,24.0
5116,330664040262001,0.0
2364,440630030032001,0.0
7474,170640050262012,0.0
3028,010690060262002,0.0
7354,150162990252923,1.0
3547,070161300021003,64.0
4683,190222050262007,0.0
4795,240471150262007,23.0
6871,130141415022001,3.0
2019,330482080262001,28.0
1233,150162990252870,13.0
391,060160910022001,0.0
7671,190222040261005,57.0
8138,330664040262001,2.0
5355,390550610252023,58.0
3810,110230950252006,0.0
3513,070161220022001,9.0
7499,190220020022006,11.0
705,080891450222005,126.0
5332,390550010261001,6.0
2680,510841860252024,11.0
2423,450670040262001,0.0
3782,110150010261002,120.0
7869,280060170042001,3.0
1510,190220930042010,3.0
8916,56099030C042006,0.0
6447,060160990022003,42.0
4655,190222040262005,5.0
7112,150162990252341,42.0
7664,190222030262016,0.0
5612,480723210261002,26.0
7603,190220890042001,2.0
6595,070161430022004,0.0
433,060160990022015,1.0
4691,200330100262004,9.0
3687,070161700022001,18.0
8463,410570110261006,865.0
8934,560990860052004,62.0
5835,530907030261001,0.0
4852,280060990042002,47.0
2990,56099255U262001,9.0
2840,560992020221003,103.0
8364,390550090262002,44.0
4455,170640050262012,0.0
305,050160630022011,9.0
7238,150162990252513,8.0
6205,050160210042007,2.0
7241,15016299025251C,0.0
5653,490810410252007,27.0
5229,340490960041003,4.0
9003,560992020222008,29.0
3108,041011220222008,21.0
8377,390550610252023,34.0
2562,490810410252016,1.0
2093,340490600262011,8.0
3578,070161420022003,9.0
603,070161490021005,19.0
2522,480723230261001,44.0
8731,500821180022005,22.0
2041,340490030042005,3.0
6071,030110040262001,1.0
808,120170010262002,8.0
